City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,blackmans bay,-43.0167,147.3167,16.96,60,3,1.34,AU,1731302319
83,la passe,45.5549,-0.8967,13.35,75,98,4.9,FR,1731302320
84,samalut,28.3121,30.7101,16.85,49,1,1.99,EG,1731302321
85,bereket,39.2446,55.5154,13.58,43,23,0.91,TM,1731302322
86,viedma,-40.8135,-62.9967,12.25,57,59,4.82,AR,1731301937
87,leh,34.1667,77.5833,0.44,47,13,2.55,IN,1731302324
88,hermanus,-34.4187,19.2345,16.56,82,8,4.03,ZA,1731302078
89,new norfolk,-42.7826,147.0587,17.62,26,1,2.44,AU,1731302327
90,iqaluit,63.7506,-68.5145,-3.15,68,75,5.14,CA,1731302328
91,sanand,22.9833,72.3833,29.12,26,0,1.7,IN,1731302329
92,lorengau,-2.0226,147.2712,29.59,70,82,3.31,PG,1731302330
93,qaqortoq,60.7167,-46.0333,-1.94,89,100,2.68,GL,1731302331
94,ingeniero jacobacci,-41.3427,-69.5448,3.27,48,59,8.15,AR,1731302332
95,stanley,54.868,-1.6985,5.29,88,61,2.06,GB,1731302333
96,howrah,22.5892,88.3103,29.0,61,40,3.6,IN,1731302334
97,punta arenas,-53.15,-70.9167,3.06,87,20,3.09,CL,1731302046
98,anadyr,64.75,177.4833,-14.72,84,20,2.68,RU,1731302336
99,hasaki,35.7333,140.8333,19.96,69,99,8.72,JP,1731302337
100,marsh harbour,26.5412,-77.0636,25.52,85,77,8.55,BS,1731302338
101,klyuchi,52.2667,79.1667,0.25,98,100,4.94,RU,1731302339
102,hamilton,39.1834,-84.5333,15.5,80,20,6.69,US,1731302162
103,whitehorse,60.7161,-135.0538,-2.57,100,100,2.06,CA,1731302342
104,mersa matruh,31.3525,27.2453,17.74,67,24,3.11,EG,1731302343
105,tarawa,1.419,172.984,30.05,74,20,4.12,KI,1731302344
106,avarua,-21.2078,-159.775,23.03,73,40,4.63,CK,1731302345
107,weno,7.4515,151.8468,31.97,79,20,3.09,FM,1731302346
108,tutoia,-2.7619,-42.2744,26.05,83,71,6.0,BR,1731302347
109,tayu,-6.5397,111.0518,31.79,59,100,3.67,ID,1731302348
110,veydelevka,50.1521,38.4492,1.76,74,78,2.74,RU,1731302349
111,tindouf,27.6711,-8.1474,17.25,34,0,2.57,DZ,1731302350
112,benguela,-12.5763,13.4055,24.22,82,100,2.13,AO,1731302351
113,atafu village,-8.5421,-172.5159,28.19,72,26,3.79,TK,1731302352
114,vorkuta,67.5,64.0,-17.33,100,90,2.56,RU,1731302353
115,toliara,-23.35,43.6667,27.93,57,60,1.75,MG,1731302354
116,west bay,19.3667,-81.4167,27.79,78,23,4.37,KY,1731302355
117,nangwa,-4.4667,35.45,17.07,77,69,2.64,TZ,1731302074
118,kaiyuan,23.6977,103.3037,25.3,58,15,1.5,CN,1731302214
119,mili,6.0815,171.735,28.58,75,44,5.0,MH,1731302360
120,tomatlan,19.9333,-105.25,22.25,97,0,1.0,MX,1731302361
121,west island,-12.1568,96.8225,28.99,74,40,7.72,CC,1731302363
122,dudinka,69.4058,86.1778,-25.26,97,66,3.59,RU,1731302308
123,guatrache,-37.6678,-63.5302,10.85,51,0,3.75,AR,1731302365
124,dergachi,51.2328,48.7659,1.86,86,100,3.46,RU,1731302366
125,pauini,-7.7136,-66.9764,22.17,96,80,1.2,BR,1731302367
126,inirida,3.8653,-67.9239,22.95,97,100,1.14,CO,1731302369
127,kayangel,8.0823,134.7173,28.79,65,72,0.51,PW,1731302370
128,egilsstadir,65.2653,-14.3948,6.95,53,0,8.75,IS,1731302371
129,starobaltachevo,56.0013,55.9213,-4.14,93,30,4.08,RU,1731302372
130,la'ie,21.6477,-157.9253,25.06,81,13,2.68,US,1731302373
131,ust-nera,64.5667,143.2,-25.28,99,94,1.23,RU,1731302374
